title,mp3_url,pdf_url
1. Вопросы,https://russianpodcast.eu/wa_files/1__20questions.mp3,https://russianpodcast.eu/wa_files/1_Questions.pdf
2. Семья,https://russianpodcast.eu/wa_files/2_family.mp3,https://russianpodcast.eu/wa_files/2_20Family.pdf
3. Знакомство,https://russianpodcast.eu/wa_files/3__20Meeting_20people.mp3,https://russianpodcast.eu/wa_files/3__20Meeting_20people.pdf
4. Делаем уборку,https://russianpodcast.eu/wa_files/4_Cleaning_your_flat.mp3,https://russianpodcast.eu/wa_files/4__20house.pdf
5. Идеальная девушка,https://russianpodcast.eu/wa_files/5_Looks_and_personalities.mp3,https://russianpodcast.eu/wa_files/5_Looks_and_personalities.pdf
6. Готовим русские блины,https://russianpodcast.eu/wa_files/6_Making_Russian_pancakes.mp3,https://russianpodcast.eu/wa_files/6_Making_Russian_pancakes.pdf
7. Распродажа,https://russianpodcast.eu/wa_files/7__20shopping.mp3,https://russianpodcast.eu/wa_files/7__20Shopping.pdf
8. Резервируем отель,https://russianpodcast.eu/wa_files/8_Hotel_Reservation.mp3,https://russianpodcast.eu/wa_files/8_Hotel_Reservation.pdf
9. В ресторане,https://russianpodcast.eu/wa_files/9_Restaurant.mp3,https://russianpodcast.eu/wa_files/9_Restaurant.pdf
10. В зоопарке,https://russianpodcast.eu/wa_files/10_Going_to_the_zoo.mp3,https://russianpodcast.eu/wa_files/10_Going_to_the_zoo.pdf
11. Спорт,https://russianpodcast.eu/wa_files/11__20Sport.mp3,https://russianpodcast.eu/wa_files/11__20Sport.pdf
12. Я тебя люблю,https://russianpodcast.eu/wa_files/12_St-Valentine_27s_20day.mp3,https://russianpodcast.eu/wa_files/12__20St-Valentine_27s_20Day.pdf
13. В кино,https://russianpodcast.eu/wa_files/13_Cinema.mp3,https://russianpodcast.eu/wa_files/13__20Cinema.pdf
14. Мне так стыдно,https://russianpodcast.eu/wa_files/14__20Apologizing.mp3,https://russianpodcast.eu/wa_files/14__20Apologizing.pdf
15. В книжном магазине,https://russianpodcast.eu/wa_files/15__20Buying_20books.mp3,https://russianpodcast.eu/wa_files/15__20Buying_20books.pdf
16. Москва,https://russianpodcast.eu/wa_files/16__20Moscow.mp3,https://russianpodcast.eu/wa_files/16__20Moscow.pdf
17. Как вылечить болезнь?,https://russianpodcast.eu/wa_files/17__20Our_20body.mp3,https://russianpodcast.eu/wa_files/17__20Our_20body.pdf
18. Музыка,https://russianpodcast.eu/wa_files/18__20Music.mp3,https://russianpodcast.eu/wa_files/18__20Music.pdf
19. Театр,https://russianpodcast.eu/wa_files/19__20Going_20to_20the_20theatre.mp3,https://russianpodcast.eu/wa_files/19__20Theatre.pdf
20. Изучаем иностранный язык,https://russianpodcast.eu/wa_files/20_Learning_foreign_language.mp3,https://russianpodcast.eu/wa_files/20_Learning_foreign_language.pdf
21. Говорим о работе,https://russianpodcast.eu/wa_files/21__20Speaking_20about_20your_20job.mp3,https://russianpodcast.eu/wa_files/21__20Talking_20about_20your_20job_28general_29.pdf
22. Потерялся!,https://russianpodcast.eu/wa_files/22_20Explaining_20the_20way.mp3,https://russianpodcast.eu/wa_files/22__20Explaining_20the_20way.pdf
